Subject,Age,FirstLanguage,Handedness,OtherLang,Sex,Block,CONDITION,COMPREHEND,Comprehension.ACC,Comprehension.RT,CRITICAL,Type,ITEM,NEAR,FAR,SAME,Sent.RT,SoundOut1.ACC,SoundOut1.RT,,,,,,,FARSOUND,,MASTER,MASTER.Cycle,MASTER.Sample,,NEARSOUND,NORESP,PFILL,Procedure,RESPONSE,Running,,SENT,Sent.ACC,Sent.CRESP,Sent.DurationError,Sent.OnsetDelay,Sent.OnsetTime,Sent.RESP,,Sent.RTTime,SFILL,SOUNDFILE,,SoundOut1.CRESP,SoundOut1.RESP,,SoundOut1.RTTime,SoundOut1.Tag
2,27,spanish,right,english,female,11,NEAR/LOUD,,1,0,20,CRITICAL,20,"As you hold the frog in your hands, it starts to croak.","At the other end of the pond, a frog starts to croak.",SAME,6119,1,1846,,,,,,,CRITICALS/FAR/CRITICAL_20_FAR.wav,,1,1,11,,CRITICALS/NEAR/CRITICAL_20_NEAR.wav,,,MAIN,j,MASTER,,"As you hold the frog in your hands, it starts to croak.",0,,-999999,6,331374,{SPACE},,337493,,CRITICALS/NEAR/CRITICAL_20_NEAR.wav,,j,j,,339564,
2,27,spanish,right,english,female,12,FAR/LOUD,Did the clock strike a full hour?,1,3736,9,CRITICAL,9,The cuckoo-clock right above you strikes midnight.,"From the far end of the garden, you hear the cuckoo-clock strike 12.",DIFF,4851,1,1966,,,,,,,CRITICALS/FAR/CRITICAL_09_FAR.wav,,3,1,12,,CRITICALS/NEAR/CRITICAL_09_NEAR.wav,,,MAIN,j,MASTER,,"From the far end of the garden, you hear the cuckoo-clock strike 12.",0,,-999999,7,340104,{SPACE},,344955,,CRITICALS/NEAR/CRITICAL_09_NEAR.wav,,j,j,,347161,
2,27,spanish,right,english,female,13,NEAR/LOUD,Are you in nature?,1,2428,24,CRITICAL,24,"As you walk through the forest, branches crack under your feet.","Somewhere off in the forest, branches are cracking under someone's feet.",SAME,3167,1,992,,,,,,,CRITICALS/FAR/CRITICAL_24_FAR.wav,,1,1,13,,CRITICALS/NEAR/CRITICAL_24_NEAR.wav,,,MAIN,j,MASTER,,"As you walk through the forest, branches crack under your feet.",0,,-999999,7,351419,{SPACE},,354586,,CRITICALS/NEAR/CRITICAL_24_NEAR.wav,,j,j,,355796,
2,27,spanish,right,english,female,14,,,1,0,,FILLER,NO03,,,,3416,1,1055,,,,,,,,,5,1,14,,,3,NORSP/NORSP_03.wav,MAIN,k,MASTER,,"While riding a bus, you suddenly hear another passenger shout ""Help!""",0,,-999999,7,358749,{SPACE},,362165,"While riding a bus, you suddenly hear another passenger shout ""Help!""",NORSP/NORSP_03.wav,,k,k,,363456,
2,27,spanish,right,english,female,15,,Is the electric fan switched on?,1,2505,,FILLER,NO11,,,,2386,1,1201,,,,,,,,,5,1,15,,,11,NORSP/NORSP_11.wav,MAIN,k,MASTER,,"As you are studying, the hum of the fan lulls you to sleep.",0,,-999999,7,364000,{SPACE},,366386,"As you are studying, the hum of the fan lulls you to sleep.",NORSP/NORSP_11.wav,,k,k,,367826,
2,27,spanish,right,english,female,16,,Are you close to water?,1,2918,,FILLER,NO15,,,,4175,1,1379,,,,,,,,,5,1,16,,,15,NORSP/NORSP_15.wav,MAIN,k,MASTER,,You are standing on the beach and listening to the sound of the ocean.,0,,-999999,6,370850,{SPACE},,375025,You are standing on the beach and listening to the sound of the ocean.,NORSP/NORSP_15.wav,,k,k,,376627,
2,27,spanish,right,english,female,17,NEAR/LOUD,,1,0,18,CRITICAL,18,"Right next to you, a machine gun is firing.","In the distance, a machine gun is firing.",SAME,1987,1,1144,,,,,,,CRITICALS/FAR/CRITICAL_18_FAR.wav,,1,1,17,,CRITICALS/NEAR/CRITICAL_18_NEAR.wav,,,MAIN,j,MASTER,,"Right next to you, a machine gun is firing.",0,,-999999,6,380059,{SPACE},,382046,,CRITICALS/NEAR/CRITICAL_18_NEAR.wav,,j,j,,383416,
2,27,spanish,right,english,female,18,FAR/LOUD,,1,0,15,CRITICAL,15,"While you're horseback-riding, your horse neighs.","At the other end of the field, a horse neighs.",DIFF,2738,1,1153,,,,,,,CRITICALS/FAR/CRITICAL_15_FAR.wav,,3,1,18,,CRITICALS/NEAR/CRITICAL_15_NEAR.wav,,,MAIN,j,MASTER,,"At the other end of the field, a horse neighs.",0,,-999999,6,383951,{SPACE},,386689,,CRITICALS/NEAR/CRITICAL_15_NEAR.wav,,j,j,,388076,
2,27,spanish,right,english,female,19,,,1,0,,FILLER,NO05,,,,2946,1,1123,,,,,,,,,5,1,19,,,5,NORSP/NORSP_05.wav,MAIN,k,MASTER,,"As you are petting the donkey, it goes ""hee-haw"".",0,,-999999,7,388616,{SPACE},,391562,"As you are petting the donkey, it goes ""hee-haw"".",NORSP/NORSP_05.wav,,k,k,,392911,
2,27,spanish,right,english,female,20,NEAR/QUIET,,1,0,2,CRITICAL,2,You hear the baby crying in the crib right in front of you.,"In the day-care centre down the hall, you hear a baby crying.",DIFF,3230,1,940,,,,,,,CRITICALS/FAR/CRITICAL_02_FAR.wav,,2,1,20,,CRITICALS/NEAR/CRITICAL_02_NEAR.wav,,,MAIN,j,MASTER,,You hear the baby crying in the crib right in front of you.,0,,-999999,7,393454,{SPACE},,396684,,CRITICALS/FAR/CRITICAL_02_FAR.wav,,j,j,,397859,
2,27,spanish,right,english,female,21,NEAR/QUIET,Is the dog growling?,1,1741,11,CRITICAL,11,"Right next to you, the dog is barking.","In your neighbor's yard, a dog is barking.",DIFF,2698,1,942,,,,,,,CRITICALS/FAR/CRITICAL_11_FAR.wav,,2,1,21,,CRITICALS/NEAR/CRITICAL_11_NEAR.wav,,,MAIN,j,MASTER,,"Right next to you, the dog is barking.",0,,-999999,6,398398,{SPACE},,401096,,CRITICALS/FAR/CRITICAL_11_FAR.wav,,j,j,,402285,
2,27,spanish,right,english,female,22,,Were you about to arrive?,1,3355,,FILLER,NO18,,,,3671,1,1224,,,,,,,,,5,1,22,,,18,NORSP/NORSP_18.wav,MAIN,k,MASTER,,You were just about to leave when you hear a friend call your name.,0,,-999999,6,404542,{SPACE},,408213,You were just about to leave when you hear a friend call your name.,NORSP/NORSP_18.wav,,k,k,,409671,
2,27,spanish,right,english,female,23,FAR/LOUD,,1,0,12,CRITICAL,12,You are drilling a screw into the wall with the power drill.,The construction worker across the street is using a power drill.,DIFF,3480,1,1558,,,,,,,CRITICALS/FAR/CRITICAL_12_FAR.wav,,3,1,23,,CRITICALS/NEAR/CRITICAL_12_NEAR.wav,,,MAIN,j,MASTER,,The construction worker across the street is using a power drill.,0,,-999999,6,413538,{SPACE},,417018,,CRITICALS/NEAR/CRITICAL_12_NEAR.wav,,j,j,,418828,
2,27,spanish,right,english,female,24,,,1,0,,FILLER,NO02,,,,3815,1,780,,,,,,,,,5,1,24,,,2,NORSP/NORSP_02.wav,MAIN,k,MASTER,,Your friend leaves the room and accidently slams the door right in your face.,0,,-999999,6,419362,{SPACE},,423177,Your friend leaves the room and accidently slams the door right in your face.,NORSP/NORSP_02.wav,,k,k,,424180,
2,27,spanish,right,english,female,25,,,1,0,,FILLER,NO10,,,,2351,1,815,,,,,,,,,5,1,25,,,10,NORSP/NORSP_10.wav,MAIN,k,MASTER,,Your father uses the dishwasher in the kitchen.,0,,-999999,7,424720,{SPACE},,427071,Your father uses the dishwasher in the kitchen.,NORSP/NORSP_10.wav,,k,k,,428120,
2,27,spanish,right,english,female,26,NEAR/QUIET,Are you holding a bottle in your hand?,1,2467,5,CRITICAL,5,You hold the champagne bottle in your hand and pop it open.,"At the opposite end of the restaurant, someone pops a champagne bottle up.",DIFF,2881,1,952,,,,,,,CRITICALS/FAR/CRITICAL_05_FAR.wav,,2,1,26,,CRITICALS/NEAR/CRITICAL_05_NEAR.wav,,,MAIN,j,MASTER,,You hold the champagne bottle in your hand and pop it open.,0,,-999999,7,428665,{SPACE},,431546,,CRITICALS/FAR/CRITICAL_05_FAR.wav,,j,j,,432735,
2,27,spanish,right,english,female,27,NEAR/LOUD,,1,0,10,CRITICAL,10,You step into the chicken coop and a rooster crows.,"Early in the morning, the rooster down the hill crows.",SAME,2436,1,674,,,,,,,CRITICALS/FAR/CRITICAL_10_FAR.wav,,1,1,27,,CRITICALS/NEAR/CRITICAL_10_NEAR.wav,,,MAIN,j,MASTER,,You step into the chicken coop and a rooster crows.,0,,-999999,6,435728,{SPACE},,438164,,CRITICALS/NEAR/CRITICAL_10_NEAR.wav,,j,j,,439054,
2,27,spanish,right,english,female,28,NEAR/QUIET,,1,0,22,CRITICAL,22,You stand next to the waterfall as the water cascades down.,"You stand across the valley from the waterfall, as the water cascades down.",DIFF,2466,1,1724,,,,,,,CRITICALS/FAR/CRITICAL_22_FAR.wav,,2,1,28,,CRITICALS/NEAR/CRITICAL_22_NEAR.wav,,,MAIN,j,MASTER,,You stand next to the waterfall as the water cascades down.,0,,-999999,6,439593,{SPACE},,442059,,CRITICALS/FAR/CRITICAL_22_FAR.wav,,j,j,,444023,
2,27,spanish,right,english,female,29,,,1,0,,FILLER,NO06,,,,4462,0,1536,,,,,,,,,5,1,29,,,6,NORSP/NORSP_06.wav,MAIN,k,MASTER,,You step inside the shower and listen to the water cascading over you.,0,,-999999,6,444564,{SPACE},,449026,You step inside the shower and listen to the water cascading over you.,NORSP/NORSP_06.wav,,k,j,,450778,
2,27,spanish,right,english,female,30,,,1,0,,FILLER,NO12,,,,2732,1,1008,,,,,,,,,5,1,30,,,12,NORSP/NORSP_12.wav,MAIN,k,MASTER,,You step inside the shower and listen to the water cascading over you.,0,,-999999,6,451321,{SPACE},,454053,You step inside the shower and listen to the water cascading over you.,NORSP/NORSP_12.wav,,k,k,,455288,
2,27,spanish,right,english,female,31,,,1,0,,FILLER,NO04,,,,4884,1,1550,,,,,,,,,5,1,31,,,4,NORSP/NORSP_04.wav,MAIN,k,MASTER,,"As you are touring the ranch, the cowboy guide next to you cracks his whip.",0,,-999999,6,455826,{SPACE},,460710,"As you are touring the ranch, the cowboy guide next to you cracks his whip.",NORSP/NORSP_04.wav,,k,k,,462494,
2,27,spanish,right,english,female,32,,,1,0,,FILLER,NO20,,,,5539,1,1524,,,,,,,,,5,1,32,,,20,NORSP/NORSP_20.wav,MAIN,k,MASTER,,You hear somebody spraying graffiti right around the corner.,0,,-999999,6,463036,{SPACE},,468575,You hear somebody spraying graffiti right around the corner.,NORSP/NORSP_20.wav,,k,k,,470331,
2,27,spanish,right,english,female,33,,Is the screaming kid close to you?,1,2396,,FILLER,NO22,,,,3284,1,1237,,,,,,,,,5,1,33,,,22,NORSP/NORSP_22.wav,MAIN,k,MASTER,,From the other end of the hall you hear a kid scream.,0,,-999999,7,470873,{SPACE},,474157,From the other end of the hall you hear a kid scream.,NORSP/NORSP_22.wav,,k,k,,475615,
2,27,spanish,right,english,female,34,NEAR/QUIET,,1,0,13,CRITICAL,13,You are using a hammer to pound a nail into the wall.,A construction worker down the hall pounds a nail into the wall.,DIFF,3577,1,1031,,,,,,,CRITICALS/FAR/CRITICAL_13_FAR.wav,,2,1,34,,CRITICALS/NEAR/CRITICAL_13_NEAR.wav,,,MAIN,j,MASTER,,You are using a hammer to pound a nail into the wall.,0,,-999999,7,478523,{SPACE},,482100,,CRITICALS/FAR/CRITICAL_13_FAR.wav,,j,j,,483379,
2,27,spanish,right,english,female,35,,,1,0,,FILLER,NO19,,,,2612,1,812,,,,,,,,,5,1,35,,,19,NORSP/NORSP_19.wav,MAIN,k,MASTER,,"While you are cooking, the pleasing sound of the frying food makes you hungry.",0,,-999999,6,483920,{SPACE},,486532,"While you are cooking, the pleasing sound of the frying food makes you hungry.",NORSP/NORSP_19.wav,,k,k,,487571,
2,27,spanish,right,english,female,36,FAR/QUIET,,1,0,6,CRITICAL,6,"While you're touring the bell tower, the church bells start to ring.","In the neighboring town, the church bells are ringing.",SAME,2226,1,1088,,,,,,,CRITICALS/FAR/CRITICAL_06_FAR.wav,,4,1,36,,CRITICALS/NEAR/CRITICAL_06_NEAR.wav,,,MAIN,j,MASTER,,"In the neighboring town, the church bells are ringing.",0,,-999999,6,488105,{SPACE},,490331,,CRITICALS/FAR/CRITICAL_06_FAR.wav,,j,j,,491659,
2,27,spanish,right,english,female,37,,Is there a concert?,1,3670,,FILLER,NO17,,,,3869,1,1774,,,,,,,,,5,1,37,,,17,NORSP/NORSP_17.wav,MAIN,k,MASTER,,"Sitting in the auditorium, you are listening to the brass band play.",0,,-999999,7,492197,{SPACE},,496066,"Sitting in the auditorium, you are listening to the brass band play.",NORSP/NORSP_17.wav,,k,k,,498062,
2,27,spanish,right,english,female,38,,,1,0,,FILLER,NO07,,,,3763,1,892,,,,,,,,,5,1,38,,,7,NORSP/NORSP_07.wav,MAIN,k,MASTER,,"While washing the dishes, you turn on the garbage disposal.",0,,-999999,7,502259,{SPACE},,506022,"While washing the dishes, you turn on the garbage disposal.",NORSP/NORSP_07.wav,,k,k,,507162,
2,27,spanish,right,english,female,39,NEAR/LOUD,Are you woken up by the blender?,0,238,3,CRITICAL,3,"In the kitchen, you're using the blender to make a smoothie.",You're woken up by your mum downstairs using the blender.,SAME,1993,0,0,,,,,,,CRITICALS/FAR/CRITICAL_03_FAR.wav,,1,1,39,,CRITICALS/NEAR/CRITICAL_03_NEAR.wav,,,MAIN,j,MASTER,,"In the kitchen, you're using the blender to make a smoothie.",0,,-999999,6,507696,{SPACE},,509689,,CRITICALS/NEAR/CRITICAL_03_NEAR.wav,,j,,,0,
2,27,spanish,right,english,female,40,FAR/QUIET,Did you open a can of soda slowly?,1,2308,23,CRITICAL,23,You quickly open the can of soda.,"Across the bar, a man quickly opens a can of soda.",SAME,9581,1,946,,,,,,,CRITICALS/FAR/CRITICAL_23_FAR.wav,,4,1,40,,CRITICALS/NEAR/CRITICAL_23_NEAR.wav,,,MAIN,j,MASTER,,"Across the bar, a man quickly opens a can of soda.",0,,-999999,6,515666,{SPACE},,525247,,CRITICALS/FAR/CRITICAL_23_FAR.wav,,j,j,,526421,
2,27,spanish,right,english,female,41,,,1,0,,FILLER,NO09,,,,3819,1,1345,,,,,,,,,5,1,41,,,9,NORSP/NORSP_09.wav,MAIN,k,MASTER,,"At the other end of the room, your friend snaps his fingers three times.",0,,-999999,6,529260,{SPACE},,533079,"At the other end of the room, your friend snaps his fingers three times.",NORSP/NORSP_09.wav,,k,k,,534657,
2,27,spanish,right,english,female,42,FAR/LOUD,,1,0,16,CRITICAL,16,You are standing next to a construction worker using a jackhammer.,"Somewhere far away from you, a construction worker is using a jackhammer.",DIFF,3381,1,1390,,,,,,,CRITICALS/FAR/CRITICAL_16_FAR.wav,,3,1,42,,CRITICALS/NEAR/CRITICAL_16_NEAR.wav,,,MAIN,j,MASTER,,"Somewhere far away from you, a construction worker is using a jackhammer.",0,,-999999,6,535204,{SPACE},,538585,,CRITICALS/NEAR/CRITICAL_16_NEAR.wav,,j,j,,540206,
2,27,spanish,right,english,female,43,FAR/QUIET,,1,0,14,CRITICAL,14,The Harley Davidson right in front of you is rumbling.,"Blocks away, a Harley Davidson is rumbling.",SAME,2343,1,3078,,,,,,,CRITICALS/FAR/CRITICAL_14_FAR.wav,,4,1,43,,CRITICALS/NEAR/CRITICAL_14_NEAR.wav,,,MAIN,j,MASTER,,"Blocks away, a Harley Davidson is rumbling.",0,,-999999,7,540749,{SPACE},,543092,,CRITICALS/FAR/CRITICAL_14_FAR.wav,,j,j,,546399,
2,27,spanish,right,english,female,44,,,1,0,,FILLER,NO01,,,,1845,1,996,,,,,,,,,5,1,44,,,1,NORSP/NORSP_01.wav,MAIN,k,MASTER,,Right at your feet a fire cracker explodes.,0,,-999999,7,546946,{SPACE},,548791,Right at your feet a fire cracker explodes.,NORSP/NORSP_01.wav,,k,k,,550008,
2,27,spanish,right,english,female,45,,,1,0,,FILLER,NO13,,,,3868,1,2836,,,,,,,,,5,1,45,,,13,NORSP/NORSP_13.wav,MAIN,k,MASTER,,The sound of the airconditioner only is annoying when it's close to you.,0,,-999999,6,550544,{SPACE},,554412,The sound of the airconditioner only is annoying when it's close to you.,NORSP/NORSP_13.wav,,k,k,,557485,
2,27,spanish,right,english,female,46,,,1,0,,FILLER,NO14,,,,3144,1,944,,,,,,,,,5,1,46,,,14,NORSP/NORSP_14.wav,MAIN,k,MASTER,,"When you put your headphones on, you realize that the song is far too loud.",0,,-999999,7,558021,{SPACE},,561165,"When you put your headphones on, you realize that the song is far too loud.",NORSP/NORSP_14.wav,,k,k,,562323,
2,27,spanish,right,english,female,47,NEAR/LOUD,,1,0,8,CRITICAL,8,You are standing right in the middle of the applauding audience.,"From outside, you know the concert is over because the audience is applauding.",SAME,2853,0,0,,,,,,,CRITICALS/FAR/CRITICAL_08_FAR.wav,,1,1,47,,CRITICALS/NEAR/CRITICAL_08_NEAR.wav,,,MAIN,j,MASTER,,You are standing right in the middle of the applauding audience.,0,,-999999,7,562859,{SPACE},,565712,,CRITICALS/NEAR/CRITICAL_08_NEAR.wav,,j,,,0,
2,27,spanish,right,english,female,48,FAR/LOUD,,1,0,19,CRITICAL,19,The sheep walks up to you and bleats.,The sheep wanders to the other side of the hill from you and bleats.,DIFF,3968,1,2258,,,,,,,CRITICALS/FAR/CRITICAL_19_FAR.wav,,3,1,48,,CRITICALS/NEAR/CRITICAL_19_NEAR.wav,,,MAIN,j,MASTER,,The sheep wanders to the other side of the hill from you and bleats.,0,,-999999,6,571508,{SPACE},,575476,,CRITICALS/NEAR/CRITICAL_19_NEAR.wav,,j,j,,577951,
1,19,English,right,German,male,1,FAR/LOUD,,1,0,1,CRITICAL,1,"Right next to you, someone fires a handgun.",Someone fires a handgun in the distance.,DIFF,1930,1,1102,,,,,,,CRITICALS/FAR/CRITICAL_01_FAR.wav,,3,1,1,,CRITICALS/NEAR/CRITICAL_01_NEAR.wav,,,MAIN,j,MASTER,,Someone fires a handgun in the distance.,0,,-999999,17,210031,{SPACE},,211961,,CRITICALS/NEAR/CRITICAL_01_NEAR.wav,,j,j,,213279,
1,19,English,right,German,male,2,,,1,0,,FILLER,NO21,,,,2641,1,991,,,,,,,,,5,1,2,,,21,NORSP/NORSP_21.wav,MAIN,k,MASTER,,"Somewhere down the hill, you hear a bike bell ring.",0,,-999999,6,213816,{SPACE},,216457,"Somewhere down the hill, you hear a bike bell ring.",NORSP/NORSP_21.wav,,k,k,,217672,
1,19,English,right,German,male,3,NEAR/QUIET,Did the clock strike a full hour?,1,2998,9,CRITICAL,9,The cuckoo-clock right above you strikes midnight.,"From the far end of the garden, you hear the cuckoo-clock strike 12.",DIFF,2198,1,884,,,,,,,CRITICALS/FAR/CRITICAL_09_FAR.wav,,2,1,3,,CRITICALS/NEAR/CRITICAL_09_NEAR.wav,,,MAIN,j,MASTER,,The cuckoo-clock right above you strikes midnight.,0,,-999999,6,218214,{SPACE},,220412,,CRITICALS/FAR/CRITICAL_09_FAR.wav,,j,j,,221510,
1,19,English,right,German,male,4,,Is there a concert?,1,1437,,FILLER,NO17,,,,4598,1,1240,,,,,,,,,5,1,4,,,17,NORSP/NORSP_17.wav,MAIN,k,MASTER,,"Sitting in the auditorium, you are listening to the brass band play.",0,,-999999,6,225024,{SPACE},,229622,"Sitting in the auditorium, you are listening to the brass band play.",NORSP/NORSP_17.wav,,k,k,,231089,
1,19,English,right,German,male,5,,,1,0,,FILLER,NO12,,,,4998,1,913,,,,,,,,,5,1,5,,,12,NORSP/NORSP_12.wav,MAIN,k,MASTER,,You step inside the shower and listen to the water cascading over you.,0,,-999999,7,233048,{SPACE},,238046,You step inside the shower and listen to the water cascading over you.,NORSP/NORSP_12.wav,,k,k,,239185,
1,19,English,right,German,male,6,FAR/LOUD,Are you touching the cow?,1,1483,7,CRITICAL,7,"While you're milking the cow, it starts mooing.","Across the field, the cow starts mooing.",DIFF,2658,1,807,,,,,,,CRITICALS/FAR/CRITICAL_07_FAR.wav,,3,1,6,,CRITICALS/NEAR/CRITICAL_07_NEAR.wav,,,MAIN,j,MASTER,,"Across the field, the cow starts mooing.",0,,-999999,7,239725,{SPACE},,242383,,CRITICALS/NEAR/CRITICAL_07_NEAR.wav,,j,j,,243410,
1,19,English,right,German,male,7,,,1,0,,FILLER,NO09,,,,3301,1,1000,,,,,,,,,5,1,7,,,9,NORSP/NORSP_09.wav,MAIN,k,MASTER,,"At the other end of the room, your friend snaps his fingers three times.",0,,-999999,6,245415,{SPACE},,248716,"At the other end of the room, your friend snaps his fingers three times.",NORSP/NORSP_09.wav,,k,k,,249934,
1,19,English,right,German,male,8,,,1,0,,FILLER,NO10,,,,2939,1,962,,,,,,,,,5,1,8,,,10,NORSP/NORSP_10.wav,MAIN,k,MASTER,,Your father uses the dishwasher in the kitchen.,0,,-999999,7,250480,{SPACE},,253419,Your father uses the dishwasher in the kitchen.,NORSP/NORSP_10.wav,,k,k,,254600,
1,19,English,right,German,male,9,NEAR/QUIET,,1,0,19,CRITICAL,19,The sheep walks up to you and bleats.,The sheep wanders to the other side of the hill from you and bleats.,DIFF,2521,1,801,,,,,,,CRITICALS/FAR/CRITICAL_19_FAR.wav,,2,1,9,,CRITICALS/NEAR/CRITICAL_19_NEAR.wav,,,MAIN,j,MASTER,,The sheep walks up to you and bleats.,0,,-999999,6,255144,{SPACE},,257665,,CRITICALS/FAR/CRITICAL_19_FAR.wav,,j,j,,258691,
1,19,English,right,German,male,10,,,1,0,,FILLER,NO03,,,,2843,1,1242,,,,,,,,,5,1,10,,,3,NORSP/NORSP_03.wav,MAIN,k,MASTER,,"While riding a bus, you suddenly hear another passenger shout ""Help!""",0,,-999999,6,259236,{SPACE},,262079,"While riding a bus, you suddenly hear another passenger shout ""Help!""",NORSP/NORSP_03.wav,,k,k,,263543,
1,19,English,right,German,male,11,FAR/QUIET,Is the toilet above you?,1,1188,21,CRITICAL,21,You stand in front of the toilet and flush it.,Someone upstairs flushes the toilet.,SAME,2386,1,933,,,,,,,CRITICALS/FAR/CRITICAL_21_FAR.wav,,4,1,11,,CRITICALS/NEAR/CRITICAL_21_NEAR.wav,,,MAIN,j,MASTER,,Someone upstairs flushes the toilet.,0,,-999999,6,264087,{SPACE},,266473,,CRITICALS/FAR/CRITICAL_21_FAR.wav,,j,j,,267632,
1,19,English,right,German,male,12,,,1,0,,FILLER,NO13,,,,3262,1,1018,,,,,,,,,5,1,12,,,13,NORSP/NORSP_13.wav,MAIN,k,MASTER,,The sound of the airconditioner only is annoying when it's close to you.,0,,-999999,7,269352,{SPACE},,272614,The sound of the airconditioner only is annoying when it's close to you.,NORSP/NORSP_13.wav,,k,k,,273848,
