,item,object,item_type,sentence,match,probability,model,dataset
62,3,Scarf,new,a,mismatch,0.002547032665461302,imagebind,pecher2006
63,4,shoelace,new,a,mismatch,0.001437686150893569,imagebind,pecher2006
64,5,Staple,new,a,mismatch,0.14359980821609497,imagebind,pecher2006
65,6,wheat,new,a,mismatch,3.636537803686224e-05,imagebind,pecher2006
66,7,coat,new,a,mismatch,0.9999632835388184,imagebind,pecher2006
67,8,match,new,a,mismatch,0.9865999817848206,imagebind,pecher2006
68,9,owl,new,a,mismatch,0.33979809284210205,imagebind,pecher2006
69,10,pumpkin,new,a,mismatch,0.7999207973480225,imagebind,pecher2006
70,11,Squid,new,a,mismatch,8.901022738427855e-06,imagebind,pecher2006
71,12,carrot,new,a,mismatch,1.6960503899099422e-06,imagebind,pecher2006
72,13,garbage bag,new,a,mismatch,0.9820021390914917,imagebind,pecher2006
73,14,goose,new,a,mismatch,0.0672593042254448,imagebind,pecher2006
74,15,ice,new,a,mismatch,0.0009969363454729319,imagebind,pecher2006
75,16,swiss knife,new,a,mismatch,0.9667693972587585,imagebind,pecher2006
76,17,umbrella,new,a,mismatch,0.6936164498329163,imagebind,pecher2006
77,18,cucumber,new,a,mismatch,0.00011162264127051458,imagebind,pecher2006
78,19,lamp,new,a,mismatch,0.21071238815784454,imagebind,pecher2006
79,20,map,new,a,mismatch,0.0010486809769645333,imagebind,pecher2006
80,21,avocado,new new,a,mismatch,1.1966966440013493e-06,imagebind,pecher2006
81,22,frog,new new,a,mismatch,0.37255915999412537,imagebind,pecher2006
82,23,paint,new new,a,mismatch,0.7065658569335938,imagebind,pecher2006
83,24,walnut,new new,a,mismatch,0.0022729351185262203,imagebind,pecher2006
84,25,zodiac,new new,a,mismatch,0.9883203506469727,imagebind,pecher2006
85,26,sugar,new new,a,mismatch,0.9429333806037903,imagebind,pecher2006
86,27,tinfoil,new new,a,mismatch,0.9991492033004761,imagebind,pecher2006
87,28,cheesecake,new new,a,mismatch,0.9999685287475586,imagebind,pecher2006
88,29,hose,new new,a,mismatch,0.10496138781309128,imagebind,pecher2006
89,30,soap,new new,a,mismatch,8.928707393351942e-05,imagebind,pecher2006
90,31,tape,new new,a,mismatch,0.10334160178899765,imagebind,pecher2006
91,32,banana,new new,a,mismatch,9.06505874809227e-08,imagebind,pecher2006
92,33,ketchup,new new,a,mismatch,0.9999876022338867,imagebind,pecher2006
93,34,wool,new new,a,mismatch,0.15180371701717377,imagebind,pecher2006
94,35,airplane,original,a,mismatch,0.9808558821678162,imagebind,pecher2006
95,36,chicken,original,a,mismatch,0.0003260812081862241,imagebind,pecher2006
96,37,hockey,original,a,mismatch,0.022587474435567856,imagebind,pecher2006
97,38,lime,original,a,mismatch,0.39855867624282837,imagebind,pecher2006
98,39,balloon,original,a,mismatch,0.999969482421875,imagebind,pecher2006
99,40,bread,original,a,mismatch,0.24097374081611633,imagebind,pecher2006
100,41,egg,original,a,mismatch,0.043846406042575836,imagebind,pecher2006
101,42,mushroom,original,a,mismatch,1.179739115286793e-06,imagebind,pecher2006
102,43,newspaper,original,a,mismatch,0.23560784757137299,imagebind,pecher2006
103,44,pineapple,original,a,mismatch,2.5446231788350815e-08,imagebind,pecher2006
104,45,sailboat,original,a,mismatch,0.9845015406608582,imagebind,pecher2006
105,46,tomato,original,a,mismatch,0.009081728756427765,imagebind,pecher2006
106,47,book,original,a,mismatch,0.8458499908447266,imagebind,pecher2006
107,48,fish,original,a,mismatch,0.0015356052899733186,imagebind,pecher2006
108,49,lemon,original,a,mismatch,0.23425982892513275,imagebind,pecher2006
109,50,onion,original,a,mismatch,8.463370613753796e-05,imagebind,pecher2006
110,51,towel,original,a,mismatch,0.06215886026620865,imagebind,pecher2006
111,52,watermelon,original,a,mismatch,0.028879141435027122,imagebind,pecher2006
112,53,apple,original,a,mismatch,0.00033990462543442845,imagebind,pecher2006
113,54,cigarette,original,a,mismatch,0.9766973257064819,imagebind,pecher2006
114,55,corn,original,a,mismatch,5.5674533427918504e-08,imagebind,pecher2006
115,56,eagle,original,a,mismatch,0.02329971268773079,imagebind,pecher2006
116,57,lobster,original,a,mismatch,0.038879308849573135,imagebind,pecher2006
117,58,shirt,original,a,mismatch,0.019050542265176773,imagebind,pecher2006
118,59,spaghetti,original,a,mismatch,0.9823336601257324,imagebind,pecher2006
119,60,tissue,original,a,mismatch,0.9999384880065918,imagebind,pecher2006
120,1,apple pie,new,b,match,0.0043879239819943905,imagebind,pecher2006
121,2,horse,new,b,match,0.8362662196159363,imagebind,pecher2006
122,3,Scarf,new,b,match,0.3384857177734375,imagebind,pecher2006
123,4,shoelace,new,b,match,0.0012402796419337392,imagebind,pecher2006
124,5,Staple,new,b,match,0.9756456613540649,imagebind,pecher2006
125,6,wheat,new,b,match,0.00020587624749168754,imagebind,pecher2006
126,7,coat,new,b,match,0.9999682903289795,imagebind,pecher2006
127,8,match,new,b,match,0.9983817338943481,imagebind,pecher2006
128,9,owl,new,b,match,0.7672524452209473,imagebind,pecher2006
129,10,pumpkin,new,b,match,0.8884148001670837,imagebind,pecher2006
130,11,Squid,new,b,match,0.9991090893745422,imagebind,pecher2006
131,12,carrot,new,b,match,0.00459784222766757,imagebind,pecher2006
132,13,garbage bag,new,b,match,0.9984550476074219,imagebind,pecher2006
133,14,goose,new,b,match,0.9369091987609863,imagebind,pecher2006
134,15,ice,new,b,match,0.9133816957473755,imagebind,pecher2006
135,16,swiss knife,new,b,match,0.968346893787384,imagebind,pecher2006
136,17,umbrella,new,b,match,0.9865938425064087,imagebind,pecher2006
137,18,cucumber,new,b,match,0.17659392952919006,imagebind,pecher2006
138,19,lamp,new,b,match,0.9986745119094849,imagebind,pecher2006
139,20,map,new,b,match,0.993217408657074,imagebind,pecher2006
140,21,avocado,new new,b,match,5.853385300724767e-05,imagebind,pecher2006
141,22,frog,new new,b,match,0.5226923227310181,imagebind,pecher2006
142,23,paint,new new,b,match,0.9997513890266418,imagebind,pecher2006
143,24,walnut,new new,b,match,0.43138813972473145,imagebind,pecher2006
144,25,zodiac,new new,b,match,0.7949972152709961,imagebind,pecher2006
145,26,sugar,new new,b,match,0.9765828251838684,imagebind,pecher2006
146,27,tinfoil,new new,b,match,0.9999995231628418,imagebind,pecher2006
147,28,cheesecake,new new,b,match,0.9998419284820557,imagebind,pecher2006
148,29,hose,new new,b,match,0.02156883291900158,imagebind,pecher2006
149,30,soap,new new,b,match,0.0007100343937054276,imagebind,pecher2006
150,31,tape,new new,b,match,0.5062919855117798,imagebind,pecher2006
151,32,banana,new new,b,match,6.65653424221091e-05,imagebind,pecher2006
152,33,ketchup,new new,b,match,0.9999861717224121,imagebind,pecher2006
153,34,wool,new new,b,match,0.14327454566955566,imagebind,pecher2006
154,35,airplane,original,b,match,0.9992008805274963,imagebind,pecher2006
155,36,chicken,original,b,match,0.9841188192367554,imagebind,pecher2006
156,37,hockey,original,b,match,0.7600073218345642,imagebind,pecher2006
157,38,lime,original,b,match,0.9571587443351746,imagebind,pecher2006
158,39,balloon,original,b,match,0.9999949932098389,imagebind,pecher2006
159,40,bread,original,b,match,0.9998494386672974,imagebind,pecher2006
160,41,egg,original,b,match,0.9985548853874207,imagebind,pecher2006
161,42,mushroom,original,b,match,0.05547602102160454,imagebind,pecher2006
162,43,newspaper,original,b,match,0.053340017795562744,imagebind,pecher2006
163,44,pineapple,original,b,match,3.7507244996959344e-05,imagebind,pecher2006
164,45,sailboat,original,b,match,0.9472512602806091,imagebind,pecher2006
165,46,tomato,original,b,match,0.9908275008201599,imagebind,pecher2006
166,47,book,original,b,match,0.9891120791435242,imagebind,pecher2006
167,48,fish,original,b,match,0.044490259140729904,imagebind,pecher2006
168,49,lemon,original,b,match,0.9974488615989685,imagebind,pecher2006
169,50,onion,original,b,match,0.0713357925415039,imagebind,pecher2006
170,51,towel,original,b,match,0.25691190361976624,imagebind,pecher2006
171,52,watermelon,original,b,match,0.17509160935878754,imagebind,pecher2006
172,53,apple,original,b,match,0.0007309542270377278,imagebind,pecher2006
173,54,cigarette,original,b,match,0.9983226656913757,imagebind,pecher2006
174,55,corn,original,b,match,6.078735168557614e-06,imagebind,pecher2006
175,56,eagle,original,b,match,0.37228941917419434,imagebind,pecher2006
176,57,lobster,original,b,match,0.05554582551121712,imagebind,pecher2006
177,58,shirt,original,b,match,0.2364261895418167,imagebind,pecher2006
178,59,spaghetti,original,b,match,0.9972456693649292,imagebind,pecher2006
179,60,tissue,original,b,match,0.999964714050293,imagebind,pecher2006
180,1,apple pie,new,b,mismatch,0.9956120252609253,imagebind,pecher2006
181,2,horse,new,b,mismatch,0.1637338250875473,imagebind,pecher2006
182,3,Scarf,new,b,mismatch,0.6615142822265625,imagebind,pecher2006
183,4,shoelace,new,b,mismatch,0.9987597465515137,imagebind,pecher2006
184,5,Staple,new,b,mismatch,0.0243543591350317,imagebind,pecher2006
185,6,wheat,new,b,mismatch,0.9997941851615906,imagebind,pecher2006
186,7,coat,new,b,mismatch,3.1683222914580256e-05,imagebind,pecher2006
187,8,match,new,b,mismatch,0.0016183055704459548,imagebind,pecher2006
188,9,owl,new,b,mismatch,0.23274753987789154,imagebind,pecher2006
189,10,pumpkin,new,b,mismatch,0.11158525198698044,imagebind,pecher2006
190,11,Squid,new,b,mismatch,0.0008908766321837902,imagebind,pecher2006
191,12,carrot,new,b,mismatch,0.9954020977020264,imagebind,pecher2006
192,13,garbage bag,new,b,mismatch,0.0015450051287189126,imagebind,pecher2006
193,14,goose,new,b,mismatch,0.06309080123901367,imagebind,pecher2006
194,15,ice,new,b,mismatch,0.0866183415055275,imagebind,pecher2006
195,16,swiss knife,new,b,mismatch,0.03165312483906746,imagebind,pecher2006
196,17,umbrella,new,b,mismatch,0.013406188227236271,imagebind,pecher2006
197,18,cucumber,new,b,mismatch,0.8234060406684875,imagebind,pecher2006
198,19,lamp,new,b,mismatch,0.0013255627127364278,imagebind,pecher2006
199,20,map,new,b,mismatch,0.006782610435038805,imagebind,pecher2006
200,21,avocado,new new,b,mismatch,0.9999414682388306,imagebind,pecher2006
201,22,frog,new new,b,mismatch,0.47730764746665955,imagebind,pecher2006
202,23,paint,new new,b,mismatch,0.0002486133307684213,imagebind,pecher2006
203,24,walnut,new new,b,mismatch,0.5686118602752686,imagebind,pecher2006
204,25,zodiac,new new,b,mismatch,0.20500275492668152,imagebind,pecher2006
205,26,sugar,new new,b,mismatch,0.0234171524643898,imagebind,pecher2006
206,27,tinfoil,new new,b,mismatch,5.218321348365862e-07,imagebind,pecher2006
207,28,cheesecake,new new,b,mismatch,0.00015807255113031715,imagebind,pecher2006
208,29,hose,new new,b,mismatch,0.9784311652183533,imagebind,pecher2006
209,30,soap,new new,b,mismatch,0.9992899894714355,imagebind,pecher2006
210,31,tape,new new,b,mismatch,0.49370795488357544,imagebind,pecher2006
211,32,banana,new new,b,mismatch,0.9999334812164307,imagebind,pecher2006
212,33,ketchup,new new,b,mismatch,1.3788972864858806e-05,imagebind,pecher2006
213,34,wool,new new,b,mismatch,0.8567255139350891,imagebind,pecher2006
214,35,airplane,original,b,mismatch,0.0007991848979145288,imagebind,pecher2006
215,36,chicken,original,b,mismatch,0.01588115282356739,imagebind,pecher2006
216,37,hockey,original,b,mismatch,0.23999272286891937,imagebind,pecher2006
217,38,lime,original,b,mismatch,0.04284123331308365,imagebind,pecher2006
218,39,balloon,original,b,mismatch,4.974903276888654e-06,imagebind,pecher2006
219,40,bread,original,b,mismatch,0.00015053609968163073,imagebind,pecher2006
220,41,egg,original,b,mismatch,0.0014450900489464402,imagebind,pecher2006
221,42,mushroom,original,b,mismatch,0.9445239305496216,imagebind,pecher2006
222,43,newspaper,original,b,mismatch,0.9466599822044373,imagebind,pecher2006
223,44,pineapple,original,b,mismatch,0.9999624490737915,imagebind,pecher2006
224,45,sailboat,original,b,mismatch,0.052748698741197586,imagebind,pecher2006
225,46,tomato,original,b,mismatch,0.00917249545454979,imagebind,pecher2006
226,47,book,original,b,mismatch,0.010887903161346912,imagebind,pecher2006
227,48,fish,original,b,mismatch,0.9555097222328186,imagebind,pecher2006
228,49,lemon,original,b,mismatch,0.002551164710894227,imagebind,pecher2006
229,50,onion,original,b,mismatch,0.9286642074584961,imagebind,pecher2006
230,51,towel,original,b,mismatch,0.7430881261825562,imagebind,pecher2006
231,52,watermelon,original,b,mismatch,0.8249083757400513,imagebind,pecher2006
232,53,apple,original,b,mismatch,0.9992690682411194,imagebind,pecher2006
233,54,cigarette,original,b,mismatch,0.0016772871604189277,imagebind,pecher2006
234,55,corn,original,b,mismatch,0.9999939203262329,imagebind,pecher2006
235,56,eagle,original,b,mismatch,0.6277105212211609,imagebind,pecher2006
236,57,lobster,original,b,mismatch,0.9444541931152344,imagebind,pecher2006
237,58,shirt,original,b,mismatch,0.7635738253593445,imagebind,pecher2006
238,59,spaghetti,original,b,mismatch,0.00275429873727262,imagebind,pecher2006
239,60,tissue,original,b,mismatch,3.5280503652757034e-05,imagebind,pecher2006
